states,x,y
Washington,-182.0,163.0
Montana,-99.0,143.0
Oregon,-198.0,129.0
Idaho,-140.0,111.0
Wyoming,-91.0,97.0
North Dakota,-23.0,137.0
South Dakota,-19.0,106.0
Minesota,31.0,124.0
Wisconsin,68.0,107.0
California,-213.0,49.0
Nevada,-174.0,72.0
Alaska,-159.0,-132.0
Utah,-128.0,54.0
Arizona,-134.0,-10.0
Colorado,-76.0,40.0
New Mexico,-89.0,-14.0
Nebraska,-13.0,68.0
Kansas,-14.0,30.0
Oklahoma,10.0,-4.0
Texas,-21.0,-55.0
Louisiana,50.0,-54.0
Arkansas,55.0,-12.0
Iowa,37.0,70.0
Missouri,45.0,29.0
Illinois,78.0,52.0
Michigan,115.0,98.0
Indiana,108.0,50.0
Ohio,138.0,52.0
Kentucky,121.0,26.0
Tennessee,107.0,-3.0
Mississippi,78.0,-36.0
Alabama,109.0,-34.0
Georgia,144.0,-39.0
Florida,168.0,-82.0
Virginia,183.0,28.0
North Carolina,187.0,2.0
South Carolina,171.0,-20.0
West Virginia,161.0,37.0
Pennsylvania,186.0,75.0
New York,199.0,103.0
Maine,245.0,142.0
New Hampshire,231.0,118.0
Vermont,220.0,123.0
Massachusetts,235.0,103.0
Rhode Island,243.0,90.0
Connecticut,226.0,88.0
New Jersey,218.0,71.0
Delaware,215.0,49.0
Washington Dc,201.0,48.0
Maryland,224.0,46.0
